"Winning.Percentage","Pk","DraftYr","MPG","salary","season","name","team","MPGcat.Winning.Percentage","MPGcat.Pk","MPGcat.DraftYr","MPGcat.MPG","MPGcat.salary","MPGcat.season","MPGcat.name","MPGcat.team","PCTCat","MPGCat"
0.305,50,1997,15.8, 570312.99,2000,"Chris Crawford","Atlanta Hawks",0.305,50,1997,Medium,2000000,2000,Chris Crawford,Atlanta Hawks,"Below","Low"
0.451,43,1998,17.7,1625370.77,2001,"Jahidi White","Washington Wizards",0.451,43,1998,Medium,3922000,2001,Jahidi White,Washington Wizards,"Below","Medium"
0.341,41,1998,37.0,2985718.08,2001,"Cuttino Mobley","Houston Rockets",0.341,41,1998,Very High,3922000,2001,Cuttino Mobley,Houston Rockets,"Below","High"
0.549,32,1998,32.0,1388694.51,2001,"Rashard Lewis","Seattle SuperSonics",0.549,32,1998,High,3920000,2001,Rashard Lewis,Seattle SuperSonics,"Above","Medium"
0.476, 1,1998,26.3,1165343.25,2001,"Michael Olowokandi","Los Angeles Clippers",0.476, 1,1998,High,3697000,2001,Michael Olowokandi,Los Angeles Clippers,"Below","Medium"
0.280, 2,1998,33.9,5698661.50,2001,"Mike Bibby","Memphis Grizzlies",0.280, 2,1998,High,3308000,2001,Mike Bibby,Memphis Grizzlies,"Below","High"
0.329, 3,1998,25.8,2031789.63,2001,"Raef LaFrentz","Denver Nuggets",0.329, 3,1998,High,2970000,2001,Raef LaFrentz,Denver Nuggets,"Below","Medium"
0.256, 4,1998,34.8,2394622.80,2001,"Antawn Jamison","Golden State Warriors",0.256, 4,1998,High,2678000,2001,Antawn Jamison,Golden State Warriors,"Below","High"
0.512, 5,1998,30.1,1869166.97,2001,"Vince Carter","Toronto Raptors",0.512, 5,1998,High,2425000,2001,Vince Carter,Toronto Raptors,"Above","Medium"
0.354, 6,1998,14.3, 622397.51,2001,"Robert Traylor","Cleveland Cavaliers",0.354, 6,1998,Medium,2203000,2001,Robert Traylor,Cleveland Cavaliers,"Below","Low"
0.744, 7,1998,29.4, 806021.93,2001,"Jason Williams","Sacramento Kings",0.744, 7,1998,High,2011000,2001,Jason Williams,Sacramento Kings,"Above","Medium"
0.256, 8,1998,30.8,1061112.49,2001,"Larry Hughes","Golden State Warriors",0.256, 8,1998,High,1842000,2001,Larry Hughes,Golden State Warriors,"Below","Medium"
0.695, 9,1998,33.8,5315555.37,2001,"Dirk Nowitzki","Dallas Mavericks",0.695, 9,1998,High,1693000,2001,Dirk Nowitzki,Dallas Mavericks,"Above","High"
0.598,10,1998,34.2,4471453.20,2001,"Paul Pierce","Boston Celtics",0.598,10,1998,High,1608000,2001,Paul Pierce,Boston Celtics,"Above","High"
0.598,11,1998,25.6,1641104.28,2001,"Bonzi Wells","Portland Trail Blazers",0.598,11,1998,High,1528000,2001,Bonzi Wells,Portland Trail Blazers,"Above","Medium"
0.512,13,1998,22.6,2062225.13,2001,"Keon Clark","Toronto Raptors",0.512,13,1998,Medium,1379000,2001,Keon Clark,Toronto Raptors,"Above","Medium"
0.280,14,1998,35.3,3758799.28,2001,"Michael Dickerson","Memphis Grizzlies",0.280,14,1998,High,1310000,2001,Michael Dickerson,Memphis Grizzlies,"Below","High"
0.354,15,1998,26.4,1481112.23,2001,"Matt Harpring","Cleveland Cavaliers",0.354,15,1998,High,1244000,2001,Matt Harpring,Cleveland Cavaliers,"Below","Medium"
0.695,53,1998,19.1,1784832.17,2001,"Greg Buckner","Dallas Mavericks",0.695,53,1998,Medium,1100000,2001,Greg Buckner,Dallas Mavericks,"Above","Medium"
0.537,19,1998,20.0,1165489.63,2001,"Pat Garrity","Orlando Magic",0.537,19,1998,Medium,1019000,2001,Pat Garrity,Orlando Magic,"Above","Medium"
0.549,31,1998,24.6,1986222.06,2001,"Ruben Patterson","Seattle SuperSonics",0.549,31,1998,High, 990000,2001,Ruben Patterson,Seattle SuperSonics,"Above","Medium"
0.524,20,1998,18.8,1264596.23,2001,"Roshown McLeod","Philadelphia 76ers",0.524,20,1998,Medium, 978000,2001,Roshown McLeod,Philadelphia 76ers,"Above","Medium"
0.439,21,1998,29.8, 813069.91,2001,"Ricky Davis","Miami Heat",0.439,21,1998,High, 939000,2001,Ricky Davis,Miami Heat,"Below","Medium"
0.476,22,1998,17.9,1302009.28,2001,"Brian Skinner","Los Angeles Clippers",0.476,22,1998,Medium, 901000,2001,Brian Skinner,Los Angeles Clippers,"Below","Medium"
0.707,23,1998,22.7,1605806.87,2001,"Tyronn Lue","Los Angeles Lakers",0.707,23,1998,Medium, 865000,2001,Tyronn Lue,Los Angeles Lakers,"Above","Medium"
0.512,25,1998,28.6,1402887.95,2001,"Al Harrington","Indiana Pacers",0.512,25,1998,High, 797000,2001,Al Harrington,Indiana Pacers,"Above","Medium"
0.256,28,1998,14.3,  34990.81,2001,"Corey Benjamin","Chicago Bulls",0.256,28,1998,Medium, 744000,2001,Corey Benjamin,Chicago Bulls,"Below","Low"
0.524,29,1998,15.8,  83765.09,2001,"Nazr Mohammed","Philadelphia 76ers",0.524,29,1998,Medium, 739000,2001,Nazr Mohammed,Philadelphia 76ers,"Above","Low"
