"Winning.Percentage","Pk","DraftYr","MPG","salary","season","name","team","MPGcat.Winning.Percentage","MPGcat.Pk","MPGcat.DraftYr","MPGcat.MPG","MPGcat.salary","MPGcat.season","MPGcat.name","MPGcat.team"
0.305,50,1997,15.8,2000000,2000,"Chris Crawford","Atlanta Hawks",0.305,50,1997,Medium,2000000,2000,Chris Crawford,Atlanta Hawks
0.451,43,1998,17.7,3922000,2001,"Jahidi White","Washington Wizards",0.451,43,1998,Medium,3922000,2001,Jahidi White,Washington Wizards
0.341,41,1998,37.0,3922000,2001,"Cuttino Mobley","Houston Rockets",0.341,41,1998,Very High,3922000,2001,Cuttino Mobley,Houston Rockets
0.549,32,1998,32.0,3920000,2001,"Rashard Lewis","Seattle SuperSonics",0.549,32,1998,High,3920000,2001,Rashard Lewis,Seattle SuperSonics
0.476, 1,1998,26.3,3697000,2001,"Michael Olowokandi","Los Angeles Clippers",0.476, 1,1998,High,3697000,2001,Michael Olowokandi,Los Angeles Clippers
0.280, 2,1998,33.9,3308000,2001,"Mike Bibby","Memphis Grizzlies",0.280, 2,1998,High,3308000,2001,Mike Bibby,Memphis Grizzlies
0.329, 3,1998,25.8,2970000,2001,"Raef LaFrentz","Denver Nuggets",0.329, 3,1998,High,2970000,2001,Raef LaFrentz,Denver Nuggets
0.256, 4,1998,34.8,2678000,2001,"Antawn Jamison","Golden State Warriors",0.256, 4,1998,High,2678000,2001,Antawn Jamison,Golden State Warriors
0.512, 5,1998,30.1,2425000,2001,"Vince Carter","Toronto Raptors",0.512, 5,1998,High,2425000,2001,Vince Carter,Toronto Raptors
0.354, 6,1998,14.3,2203000,2001,"Robert Traylor","Cleveland Cavaliers",0.354, 6,1998,Medium,2203000,2001,Robert Traylor,Cleveland Cavaliers
0.744, 7,1998,29.4,2011000,2001,"Jason Williams","Sacramento Kings",0.744, 7,1998,High,2011000,2001,Jason Williams,Sacramento Kings
0.256, 8,1998,30.8,1842000,2001,"Larry Hughes","Golden State Warriors",0.256, 8,1998,High,1842000,2001,Larry Hughes,Golden State Warriors
0.695, 9,1998,33.8,1693000,2001,"Dirk Nowitzki","Dallas Mavericks",0.695, 9,1998,High,1693000,2001,Dirk Nowitzki,Dallas Mavericks
0.598,10,1998,34.2,1608000,2001,"Paul Pierce","Boston Celtics",0.598,10,1998,High,1608000,2001,Paul Pierce,Boston Celtics
0.598,11,1998,25.6,1528000,2001,"Bonzi Wells","Portland Trail Blazers",0.598,11,1998,High,1528000,2001,Bonzi Wells,Portland Trail Blazers
0.512,13,1998,22.6,1379000,2001,"Keon Clark","Toronto Raptors",0.512,13,1998,Medium,1379000,2001,Keon Clark,Toronto Raptors
0.280,14,1998,35.3,1310000,2001,"Michael Dickerson","Memphis Grizzlies",0.280,14,1998,High,1310000,2001,Michael Dickerson,Memphis Grizzlies
0.354,15,1998,26.4,1244000,2001,"Matt Harpring","Cleveland Cavaliers",0.354,15,1998,High,1244000,2001,Matt Harpring,Cleveland Cavaliers
0.695,53,1998,19.1,1100000,2001,"Greg Buckner","Dallas Mavericks",0.695,53,1998,Medium,1100000,2001,Greg Buckner,Dallas Mavericks
0.537,19,1998,20.0,1019000,2001,"Pat Garrity","Orlando Magic",0.537,19,1998,Medium,1019000,2001,Pat Garrity,Orlando Magic
0.549,31,1998,24.6, 990000,2001,"Ruben Patterson","Seattle SuperSonics",0.549,31,1998,High, 990000,2001,Ruben Patterson,Seattle SuperSonics
0.524,20,1998,18.8, 978000,2001,"Roshown McLeod","Philadelphia 76ers",0.524,20,1998,Medium, 978000,2001,Roshown McLeod,Philadelphia 76ers
0.439,21,1998,29.8, 939000,2001,"Ricky Davis","Miami Heat",0.439,21,1998,High, 939000,2001,Ricky Davis,Miami Heat
0.476,22,1998,17.9, 901000,2001,"Brian Skinner","Los Angeles Clippers",0.476,22,1998,Medium, 901000,2001,Brian Skinner,Los Angeles Clippers
0.707,23,1998,22.7, 865000,2001,"Tyronn Lue","Los Angeles Lakers",0.707,23,1998,Medium, 865000,2001,Tyronn Lue,Los Angeles Lakers
0.512,25,1998,28.6, 797000,2001,"Al Harrington","Indiana Pacers",0.512,25,1998,High, 797000,2001,Al Harrington,Indiana Pacers
